Date,TotalExpenses
1986-11-30 00:00:00,319600000
1987-11-30 00:00:00,412000000
1988-11-30 00:00:00,441700000
1989-11-30 00:00:00,906900000
1990-11-30 00:00:00,1121800000
1991-11-30 00:00:00,1088800000
1992-11-30 00:00:00,1148700000
1993-11-30 00:00:00,1209200000
1994-11-30 00:00:00,1362342000
1995-11-30 00:00:00,1508112000
1996-11-30 00:00:00,1661111000
1997-11-30 00:00:00,1786489000
1998-11-30 00:00:00,2189514000
1999-11-30 00:00:00,2553529000
2000-11-30 00:00:00,2833412000
2001-11-30 00:00:00,3459618000
2002-11-30 00:00:00,3306210000
2003-11-30 00:00:00,5335000000
2004-11-30 00:00:00,7554000000
2005-11-30 00:00:00,8448000000
2006-11-30 00:00:00,9226000000
2007-11-30 00:00:00,10308000000
2008-11-30 00:00:00,11917000000
2009-11-30 00:00:00,11003000000
2010-11-30 00:00:00,12122000000
2011-11-30 00:00:00,13538000000
2012-11-30 00:00:00,13567000000
2013-11-30 00:00:00,14091000000
2014-11-30 00:00:00,14092000000
2015-11-30 00:00:00,13140000000
2016-11-30 00:00:00,13318000000
2017-11-30 00:00:00,14612000000
2018-11-30 00:00:00,15556000000
2019-11-30 00:00:00,17549000000
