Year,Quarter,Month,Day,TotalRevenue
1986,Qtr 4,November,30,420800000
1987,Qtr 4,November,30,564100000
1988,Qtr 4,November,30,599700000
1989,Qtr 4,November,30,1147700000
1990,Qtr 4,November,30,1391300000
1991,Qtr 4,November,30,1404700000
1992,Qtr 4,November,30,1473600000
1993,Qtr 4,November,30,1556900000
1994,Qtr 4,November,30,1806016000
1995,Qtr 4,November,30,1998150000
1996,Qtr 4,November,30,2212572000
1997,Qtr 4,November,30,2447468000
1998,Qtr 4,November,30,3009306000
1999,Qtr 4,November,30,3497470000
2000,Qtr 4,November,30,3778542000
2001,Qtr 4,November,30,4535751000
2002,Qtr 4,November,30,4368269000
2003,Qtr 4,November,30,6718000000
2004,Qtr 4,November,30,9727000000
2005,Qtr 4,November,30,11087000000
2006,Qtr 4,November,30,11839000000
2007,Qtr 4,November,30,13033000000
2008,Qtr 4,November,30,14646000000
2009,Qtr 4,November,30,13157000000
2010,Qtr 4,November,30,14469000000
2011,Qtr 4,November,30,15793000000
2012,Qtr 4,November,30,15382000000
2013,Qtr 4,November,30,15456000000
2014,Qtr 4,November,30,15884000000
2015,Qtr 4,November,30,15714000000
2016,Qtr 4,November,30,16389000000
2017,Qtr 4,November,30,17510000000
2018,Qtr 4,November,30,18881000000
2019,Qtr 4,November,30,20825000000
